epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water
21,0.090489,0.100639,0.59603,0.694723,0.915927,7.543e-05,0.884075,0.110112,0.466634,0.944899,0.813066,0.357393
22,0.09031,0.101296,0.606415,0.704666,0.915565,7.33e-05,0.883557,0.10059,0.463906,0.944371,0.811351,0.434713
23,0.090358,0.101691,0.60758,0.706414,0.915602,7.113e-05,0.884143,0.107125,0.469514,0.943979,0.812332,0.428387
24,0.090528,0.100173,0.61199,0.712056,0.916141,6.891e-05,0.885652,0.120896,0.471689,0.944656,0.811433,0.437615
25,0.090149,0.100685,0.621884,0.721098,0.915891,6.665e-05,0.884959,0.120511,0.471828,0.944563,0.81464,0.494805
26,0.089957,0.102177,0.617953,0.717986,0.914688,6.436e-05,0.882843,0.121538,0.46771,0.943978,0.810952,0.480695
27,0.090536,0.101992,0.607073,0.707162,0.915632,6.204e-05,0.883589,0.119361,0.47074,0.944509,0.812383,0.411857
28,0.089569,0.100869,0.617629,0.716856,0.916287,5.97e-05,0.885272,0.116881,0.472723,0.944533,0.813566,0.472801
29,0.089613,0.099934,0.62128,0.719881,0.916403,5.736e-05,0.884838,0.117652,0.470909,0.94557,0.820403,0.488306
30,0.089486,0.10006,0.617357,0.715718,0.916151,5.5e-05,0.883738,0.110723,0.466911,0.945124,0.817808,0.479841
31,0.089664,0.099351,0.630849,0.728683,0.916455,5.264e-05,0.885391,0.120501,0.473373,0.945,0.818244,0.542584
32,0.090188,0.100378,0.61376,0.712135,0.916433,5.03e-05,0.88493,0.108922,0.472613,0.945239,0.81681,0.454042
33,0.089534,0.101108,0.620565,0.718178,0.916342,4.796e-05,0.885334,0.105185,0.470915,0.94472,0.811603,0.505634
34,0.089529,0.100576,0.610074,0.709532,0.916077,4.564e-05,0.884767,0.113308,0.469453,0.944508,0.810651,0.437758
35,0.089632,0.099746,0.619711,0.718177,0.916435,4.335e-05,0.885106,0.113845,0.46919,0.944662,0.817922,0.48754
36,0.088725,0.100807,0.641205,0.737128,0.916069,4.109e-05,0.885001,0.12096,0.470636,0.945074,0.815682,0.609878
37,0.090262,0.100526,0.605166,0.704401,0.916179,3.887e-05,0.885301,0.115329,0.468526,0.944327,0.817618,0.399896
38,0.08875,0.100283,0.607448,0.707951,0.916447,3.67e-05,0.886667,0.124416,0.469715,0.944682,0.810138,0.409068
39,0.089409,0.10049,0.61533,0.715857,0.915918,3.457e-05,0.885127,0.126007,0.469772,0.94473,0.810858,0.455488
40,0.088998,0.100364,0.635235,0.733323,0.916668,3.25e-05,0.885737,0.127123,0.472972,0.945154,0.812624,0.567803
41,0.088366,0.100506,0.606691,0.706654,0.916344,3.049e-05,0.885575,0.122507,0.474068,0.945667,0.814326,0.398002
42,0.089587,0.1001,0.618928,0.717837,0.916507,2.855e-05,0.885479,0.115168,0.470522,0.945397,0.812365,0.484639
43,0.089277,0.100926,0.60344,0.703453,0.915788,2.668e-05,0.884224,0.116907,0.46993,0.945192,0.807835,0.396552
44,0.08875,0.100597,0.612305,0.710317,0.916399,2.489e-05,0.885333,0.104265,0.470444,0.945105,0.815054,0.453626
45,0.089233,0.100273,0.608005,0.707815,0.9167,2.318e-05,0.886455,0.121851,0.471476,0.945636,0.815638,0.406971
46,0.089111,0.099753,0.618916,0.718639,0.916417,2.156e-05,0.885088,0.122222,0.473502,0.945049,0.813178,0.474457
47,0.08912,0.099523,0.615107,0.714379,0.916923,2.003e-05,0.88599,0.118128,0.476412,0.945705,0.815665,0.448742
48,0.089608,0.099867,0.624001,0.723023,0.916577,1.859e-05,0.885461,0.122086,0.475029,0.945672,0.816074,0.499686
49,0.088256,0.099826,0.62522,0.724908,0.916824,1.726e-05,0.886494,0.127781,0.470834,0.945319,0.811563,0.509332
50,0.089142,0.099961,0.6173,0.717145,0.916453,1.603e-05,0.886069,0.126035,0.474107,0.945173,0.819202,0.453216
51,0.088667,0.099842,0.614532,0.714506,0.916374,1.49e-05,0.885989,0.123216,0.471544,0.944675,0.815066,0.446703
52,0.088415,0.099636,0.617993,0.717284,0.916691,1.389e-05,0.885774,0.1189,0.47734,0.945688,0.814003,0.46625
53,0.088924,0.100055,0.61782,0.718576,0.91668,1.299e-05,0.886479,0.130048,0.473905,0.944849,0.809807,0.461832
54,0.088179,0.100441,0.614172,0.714341,0.91622,1.22e-05,0.88499,0.123231,0.475997,0.945499,0.811677,0.443641
55,0.088428,0.100427,0.606569,0.706093,0.916298,1.153e-05,0.884958,0.116978,0.47049,0.945679,0.814425,0.406885
56,0.088446,0.100028,0.625917,0.725517,0.916663,1.098e-05,0.88587,0.128788,0.475933,0.945341,0.815656,0.503913
57,0.088713,0.100135,0.613735,0.712594,0.916248,1.055e-05,0.884933,0.113312,0.47305,0.945149,0.817031,0.448932
58,0.088624,0.100006,0.617192,0.716835,0.916174,1.025e-05,0.885164,0.119811,0.472082,0.945296,0.81172,0.469082
59,0.088332,0.100533,0.616737,0.71656,0.916174,1.006e-05,0.885507,0.120715,0.47307,0.945118,0.810625,0.465385
60,0.088017,0.099269,0.628573,0.727248,0.916937,1e-05,0.886577,0.125598,0.476066,0.945229,0.820001,0.517968
