epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water
1,0.094931,0.102829,0.61339,0.711764,0.914726,9.994e-05,0.883409,0.102835,0.459982,0.94271,0.808647,0.482759
2,0.092365,0.10145,0.60803,0.707667,0.915941,9.975e-05,0.884977,0.111289,0.469915,0.944069,0.805278,0.432655
3,0.092387,0.102304,0.597806,0.697048,0.91546,9.945e-05,0.883812,0.10731,0.457399,0.943871,0.807846,0.386595
4,0.093124,0.10173,0.617604,0.715809,0.915337,9.902e-05,0.882928,0.107778,0.467485,0.944525,0.815184,0.487726
5,0.09244,0.101483,0.614885,0.712732,0.915589,9.847e-05,0.884074,0.100345,0.466077,0.943808,0.80866,0.486346
6,0.091644,0.101937,0.619662,0.718851,0.915297,9.78e-05,0.884266,0.116295,0.464361,0.943832,0.810535,0.498681
7,0.091159,0.100275,0.611487,0.711097,0.916012,9.701e-05,0.885408,0.115082,0.464338,0.94384,0.810919,0.449333
8,0.091843,0.102124,0.606892,0.705186,0.915302,9.611e-05,0.882923,0.102953,0.463411,0.944279,0.815686,0.432099
9,0.091364,0.101059,0.6048,0.704155,0.915668,9.51e-05,0.884641,0.111555,0.468407,0.943984,0.811362,0.408849
10,0.091516,0.101548,0.597498,0.697687,0.915738,9.397e-05,0.886195,0.122219,0.463406,0.943203,0.809695,0.360271
11,0.091675,0.100466,0.610662,0.711013,0.916042,9.274e-05,0.885239,0.123821,0.467571,0.944408,0.813567,0.429368
12,0.091568,0.101222,0.619679,0.71995,0.915715,9.141e-05,0.884157,0.129014,0.470718,0.944956,0.816935,0.472292
13,0.091497,0.099797,0.632325,0.72925,0.916084,8.997e-05,0.884979,0.115261,0.468745,0.944063,0.817617,0.563286
14,0.090636,0.10064,0.628212,0.726331,0.915485,8.844e-05,0.883771,0.117095,0.46744,0.944204,0.811515,0.545249
15,0.091026,0.102192,0.614468,0.713573,0.915748,8.682e-05,0.884382,0.113028,0.466668,0.944655,0.812851,0.465226
16,0.090532,0.100465,0.609345,0.70731,0.916016,8.511e-05,0.884329,0.101435,0.467503,0.944879,0.814249,0.443674
17,0.090315,0.100205,0.603031,0.701295,0.91647,8.332e-05,0.884866,0.109446,0.467097,0.944369,0.823088,0.389318
18,0.092157,0.101649,0.593918,0.693536,0.915405,8.145e-05,0.88475,0.123169,0.467582,0.943677,0.8126,0.331728
19,0.090035,0.10045,0.620416,0.720142,0.915686,7.951e-05,0.883766,0.122579,0.469229,0.944444,0.813351,0.489124
20,0.090544,0.101336,0.612865,0.713951,0.91483,7.75e-05,0.884228,0.128046,0.461986,0.942958,0.810592,0.449378
