epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,1.588582,1.570213,0.079362,0.127308,0.204503,0.00099976,0.008767,0.021017,0.023915,0.377971,0.145739,0.049492,0.001065,0.006931
2,1.214261,1.209216,0.132266,0.198164,0.300414,0.00099902,0.023336,0.045941,0.06838,0.526856,0.309354,0.056598,0.002376,0.025286
3,1.039112,1.096233,0.143366,0.220278,0.308645,0.0009978,0.067567,0.046206,0.093328,0.525004,0.284255,0.051732,0.003169,0.075668
4,0.924212,1.034878,0.169858,0.249827,0.361051,0.0009961,0.04176,0.051258,0.124454,0.637193,0.320541,0.06455,0.004033,0.115073
5,0.798564,0.837136,0.212094,0.303209,0.469038,0.00099391,0.18242,0.072971,0.170698,0.702878,0.421768,0.101138,0.007646,0.037234
6,0.729402,0.98782,0.212836,0.308935,0.456587,0.00099123,0.147324,0.073014,0.154098,0.700191,0.3904,0.134339,0.006433,0.09689
7,0.701199,0.893492,0.184925,0.273973,0.435912,0.00098808,0.130621,0.09401,0.160854,0.677593,0.25858,0.09647,0.008123,0.053147
8,0.608632,0.71878,0.210367,0.301052,0.468969,0.00098445,0.156388,0.099328,0.183616,0.71989,0.38831,0.102137,0.007099,0.026166
9,0.623405,0.733097,0.242425,0.342247,0.529918,0.00098035,0.234954,0.102136,0.2005,0.781705,0.415437,0.112991,0.009003,0.082676
10,0.606714,0.73312,0.231795,0.325739,0.521447,0.00097577,0.208728,0.083504,0.192373,0.796336,0.391944,0.106205,0.007985,0.067289
11,0.577792,0.724916,0.239608,0.337306,0.50767,0.00097074,0.277682,0.093317,0.183521,0.718568,0.487434,0.097441,0.015574,0.043328
12,0.580219,0.683751,0.260918,0.358762,0.550243,0.00096524,0.283367,0.096912,0.217334,0.781379,0.535412,0.105664,0.014975,0.0523
13,0.50482,0.703881,0.227265,0.31716,0.486846,0.00095929,0.167765,0.10912,0.196436,0.756759,0.463746,0.100508,0.008569,0.01522
14,0.510369,0.698846,0.253145,0.356353,0.541534,0.00095289,0.263838,0.096146,0.182623,0.780027,0.451963,0.133041,0.01398,0.10354
15,0.501975,0.659607,0.251202,0.353011,0.533894,0.00094605,0.226747,0.103301,0.208387,0.802037,0.421289,0.163405,0.009955,0.074495
16,0.482146,0.618521,0.279772,0.383052,0.601613,0.00093877,0.362586,0.114336,0.219027,0.808847,0.499817,0.18494,0.015991,0.03263
17,0.471294,0.616948,0.283349,0.388976,0.580364,0.00093107,0.327042,0.115088,0.228342,0.798124,0.549455,0.157436,0.01677,0.074534
18,0.444952,0.605233,0.260498,0.361225,0.54431,0.00092294,0.293595,0.111687,0.212646,0.767889,0.512756,0.127863,0.012263,0.045289
19,0.465105,0.616992,0.281488,0.386194,0.597591,0.0009144,0.33889,0.120737,0.240802,0.835205,0.478319,0.163283,0.012119,0.062551
20,0.45479,0.664176,0.285509,0.394671,0.61779,0.00090546,0.465542,0.123894,0.200363,0.745595,0.470955,0.219233,0.022988,0.035506
21,0.435307,0.588877,0.29936,0.4072,0.610027,0.00089613,0.383785,0.119425,0.259787,0.819734,0.54765,0.162752,0.012321,0.089426
22,0.46256,0.73065,0.252561,0.353987,0.530732,0.0008864,0.293571,0.113279,0.185612,0.733326,0.509778,0.117092,0.018084,0.049746
23,0.463657,0.595805,0.292931,0.399338,0.600501,0.0008763,0.337999,0.117719,0.245799,0.829268,0.547153,0.161174,0.011552,0.092784
24,0.44256,0.612555,0.286332,0.39813,0.605247,0.00086584,0.397411,0.125111,0.217642,0.783057,0.44353,0.243946,0.013726,0.066237
25,0.419701,0.52821,0.305587,0.413807,0.632679,0.00085502,0.426311,0.129672,0.255702,0.820879,0.538594,0.200581,0.021299,0.051661
26,0.440904,0.58882,0.268986,0.378644,0.552575,0.00084385,0.310612,0.112651,0.222668,0.769071,0.465063,0.130703,0.013256,0.127867
27,0.399959,0.535052,0.302589,0.410623,0.622316,0.00083235,0.41008,0.12413,0.254207,0.814999,0.524707,0.237385,0.017984,0.037217
28,0.39372,0.579881,0.269091,0.364285,0.548197,0.00082052,0.241664,0.108969,0.248797,0.831719,0.557141,0.10003,0.022348,0.04206
29,0.391332,0.577134,0.310266,0.424779,0.651076,0.00080839,0.480075,0.136024,0.243554,0.804551,0.4781,0.221627,0.015831,0.10237
30,0.396603,0.546166,0.299278,0.410638,0.592937,0.00079595,0.341096,0.117584,0.264523,0.830663,0.520379,0.173011,0.009672,0.137294
31,0.397639,0.547505,0.305673,0.414057,0.607121,0.00078323,0.347816,0.11875,0.269284,0.848824,0.560839,0.184686,0.012947,0.102241
32,0.374001,0.56029,0.324959,0.438077,0.659404,0.00077023,0.472845,0.13335,0.269222,0.825513,0.515426,0.303151,0.022571,0.057597
33,0.389499,0.537676,0.305063,0.408923,0.626054,0.00075698,0.379541,0.116484,0.259241,0.848773,0.581138,0.185374,0.02319,0.046764
34,0.373495,0.51541,0.322813,0.43645,0.653758,0.00074347,0.463825,0.130627,0.264756,0.826305,0.55105,0.220985,0.025803,0.09915
35,0.364101,0.513624,0.315997,0.427592,0.634721,0.00072973,0.416816,0.128062,0.268986,0.83346,0.559939,0.200266,0.015889,0.104556
36,0.338714,0.528531,0.309622,0.420228,0.630428,0.00071576,0.399234,0.123062,0.278955,0.843305,0.526329,0.197495,0.01717,0.091424
37,0.366824,0.532627,0.313886,0.423974,0.613459,0.00070159,0.339721,0.116807,0.266125,0.856294,0.576719,0.235223,0.015534,0.104667
38,0.364762,0.549194,0.314609,0.426131,0.638301,0.00068722,0.448435,0.132118,0.263821,0.811586,0.541346,0.234828,0.016245,0.068496
39,0.356407,0.517926,0.326428,0.432397,0.659314,0.00067268,0.463525,0.127754,0.272065,0.838996,0.590988,0.274542,0.019763,0.023793
40,0.332999,0.539018,0.317493,0.423843,0.636819,0.00065796,0.393694,0.121183,0.266735,0.857632,0.611726,0.187756,0.022062,0.079154
41,0.328916,0.528176,0.327116,0.440733,0.653867,0.0006431,0.440525,0.131752,0.262164,0.843992,0.538904,0.29723,0.022754,0.079609
42,0.31932,0.570572,0.338585,0.455705,0.675739,0.0006281,0.526235,0.139288,0.26147,0.8051,0.511094,0.357432,0.023568,0.084493
43,0.361566,0.503879,0.32894,0.439455,0.64999,0.00061298,0.411419,0.115478,0.272173,0.871062,0.563137,0.297687,0.01548,0.085083
44,0.318717,0.525528,0.346504,0.461587,0.659073,0.00059775,0.444761,0.124718,0.275831,0.855178,0.579669,0.363022,0.016027,0.112822
45,0.334413,0.608949,0.364691,0.483191,0.690587,0.00058244,0.558143,0.141319,0.255687,0.799883,0.537273,0.489778,0.029483,0.105957
46,0.307064,0.563603,0.361355,0.477937,0.684047,0.00056704,0.513401,0.137303,0.28259,0.837285,0.598029,0.390343,0.023523,0.108368
47,0.320972,0.599488,0.361923,0.477484,0.687638,0.00055158,0.516504,0.133118,0.276115,0.842499,0.583809,0.419211,0.022394,0.101734
48,0.313554,0.657237,0.378772,0.496822,0.681563,0.00053608,0.530141,0.13394,0.258606,0.818826,0.557382,0.562356,0.019867,0.149055
49,0.294325,0.514633,0.362662,0.477948,0.680017,0.00052055,0.52159,0.134258,0.26512,0.819175,0.575371,0.474556,0.024427,0.0868
50,0.313641,0.541329,0.328822,0.442965,0.661143,0.000505,0.490786,0.139286,0.27305,0.809789,0.577314,0.219683,0.030701,0.089969
51,0.30548,0.468585,0.350933,0.468573,0.675912,0.00048945,0.49251,0.139411,0.288332,0.842062,0.593111,0.296367,0.025861,0.129813
