epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,1.58649,1.290014,0.204519,0.294721,0.497324,0.00099976,0.305765,0.06066,0.124352,0.639923,0.385835,0.112014,0.003224,0.004376
2,1.097671,0.998725,0.286536,0.390063,0.601543,0.00099902,0.405203,0.091091,0.169833,0.75702,0.532868,0.304334,0.01314,0.0188
3,0.939813,1.004786,0.255505,0.35881,0.507501,0.0009978,0.295351,0.090388,0.163508,0.652942,0.569447,0.237804,0.026964,0.00764
4,0.866939,0.909239,0.306031,0.411779,0.618673,0.0009961,0.503904,0.102588,0.214673,0.710247,0.582355,0.314559,0.015274,0.004644
5,0.792138,0.808756,0.331374,0.437367,0.682207,0.00099391,0.534899,0.115032,0.237831,0.806635,0.596002,0.310632,0.025048,0.024918
6,0.750413,0.796766,0.328594,0.437251,0.64629,0.00099123,0.43966,0.115067,0.265085,0.836479,0.555877,0.363863,0.0223,0.030424
7,0.714651,0.791362,0.340005,0.450375,0.705553,0.00098808,0.550138,0.134183,0.277148,0.840001,0.525207,0.32741,0.02606,0.039897
8,0.69405,0.789851,0.342248,0.451408,0.693891,0.00098445,0.573931,0.121288,0.261481,0.807254,0.502891,0.422967,0.028686,0.019489
9,0.678228,0.728595,0.373993,0.483088,0.711802,0.00098035,0.568987,0.137671,0.27189,0.844721,0.671428,0.407757,0.044181,0.045305
10,0.650846,0.729618,0.374286,0.486272,0.723791,0.00097577,0.585934,0.137383,0.291436,0.851854,0.636748,0.380718,0.06077,0.049445
11,0.639184,0.783277,0.326015,0.438794,0.636782,0.00097074,0.539626,0.138058,0.257159,0.69485,0.578635,0.362365,0.03364,0.003788
12,0.633746,0.729709,0.380919,0.487312,0.716795,0.00096524,0.57979,0.141984,0.280678,0.847664,0.650606,0.486127,0.033789,0.026712
13,0.608335,0.692332,0.391709,0.506841,0.738482,0.00095929,0.590242,0.148128,0.321264,0.879082,0.664553,0.374497,0.069115,0.086794
14,0.593917,0.697759,0.386651,0.500429,0.715248,0.00095289,0.57112,0.141606,0.294996,0.846527,0.644146,0.470806,0.082778,0.041227
15,0.591311,0.67577,0.424074,0.528174,0.746546,0.00094605,0.631703,0.149926,0.294212,0.852685,0.671519,0.68848,0.073703,0.030361
16,0.605937,0.688361,0.394081,0.503172,0.729397,0.00093877,0.593329,0.148456,0.300173,0.857145,0.687043,0.470691,0.040386,0.055426
17,0.607909,0.669906,0.370488,0.479174,0.695628,0.00093107,0.543572,0.132535,0.272041,0.829152,0.633193,0.483889,0.053354,0.016168
18,0.570929,0.67582,0.421515,0.528241,0.760456,0.00092294,0.647533,0.154954,0.307307,0.867524,0.664414,0.620615,0.059171,0.0506
19,0.539199,0.706543,0.408047,0.513932,0.739699,0.0009144,0.601458,0.146413,0.319452,0.876455,0.705134,0.527039,0.03651,0.051918
20,0.54554,0.680257,0.435256,0.53856,0.759417,0.00090546,0.654055,0.159189,0.309154,0.851131,0.618729,0.778134,0.050729,0.060925
21,0.563374,0.662907,0.425657,0.532501,0.760856,0.00089613,0.683522,0.157475,0.285655,0.829928,0.67336,0.653884,0.063649,0.057782
22,0.541465,0.653908,0.384435,0.495504,0.72152,0.0008864,0.571284,0.140755,0.317374,0.854891,0.591089,0.513792,0.057806,0.028487
23,0.513459,0.626478,0.385668,0.49695,0.724422,0.0008763,0.581472,0.150002,0.322248,0.850716,0.617651,0.478606,0.057659,0.026993
24,0.532327,0.634178,0.436854,0.538152,0.740156,0.00086584,0.600669,0.151334,0.31541,0.866953,0.664879,0.78844,0.063071,0.044078
25,0.535945,0.633541,0.426648,0.531766,0.756799,0.00085502,0.642601,0.155348,0.327389,0.862205,0.677718,0.648565,0.062187,0.037173
26,0.512441,0.64419,0.428463,0.533676,0.759841,0.00084385,0.634773,0.156224,0.344167,0.877231,0.713042,0.600075,0.068945,0.033245
27,0.512325,0.609646,0.436018,0.536983,0.753606,0.00083235,0.648585,0.156674,0.299069,0.85016,0.703742,0.731039,0.061507,0.037369
28,0.560116,0.618735,0.388557,0.496287,0.718131,0.00082052,0.544932,0.139777,0.322848,0.872736,0.64156,0.515352,0.036002,0.035251
29,0.513402,0.607792,0.420413,0.525168,0.75099,0.00080839,0.634812,0.15871,0.316527,0.856745,0.666882,0.64464,0.046066,0.038922
30,0.487838,0.597082,0.424873,0.531276,0.75852,0.00079595,0.629494,0.154761,0.354105,0.881675,0.675255,0.603352,0.038909,0.061431
31,0.486555,0.602934,0.412169,0.519953,0.731437,0.00078323,0.610611,0.154248,0.304164,0.839285,0.690151,0.599641,0.061264,0.03799
32,0.483765,0.609148,0.43694,0.549778,0.761682,0.00077023,0.636176,0.159724,0.336444,0.878317,0.679123,0.62832,0.082257,0.095157
33,0.468431,0.592597,0.445236,0.54772,0.739411,0.00075698,0.599302,0.146881,0.323693,0.866597,0.732777,0.759487,0.058617,0.074534
34,0.481388,0.60792,0.443637,0.547816,0.742593,0.00074347,0.614074,0.152232,0.328086,0.857696,0.676695,0.784741,0.080964,0.054604
35,0.471044,0.616136,0.432249,0.54352,0.742821,0.00072973,0.594836,0.146409,0.335368,0.878278,0.679443,0.657482,0.085941,0.080233
36,0.461575,0.602944,0.420719,0.528619,0.745761,0.00071576,0.617465,0.155552,0.331803,0.864449,0.689355,0.59869,0.061182,0.047257
37,0.456961,0.615226,0.455936,0.56002,0.759394,0.00070159,0.636769,0.157655,0.324661,0.871725,0.664995,0.827243,0.077245,0.087193
38,0.480882,0.608864,0.427145,0.533,0.755138,0.00068722,0.633222,0.163328,0.329135,0.864882,0.730432,0.59022,0.081415,0.024522
39,0.452338,0.594719,0.459428,0.556938,0.766056,0.00067268,0.637419,0.160778,0.348829,0.887821,0.732824,0.79751,0.057633,0.05261
40,0.458609,0.62238,0.441304,0.549871,0.755393,0.00065796,0.625741,0.156316,0.332671,0.874831,0.702077,0.682374,0.077166,0.079257
41,0.46808,0.592561,0.431344,0.535817,0.756218,0.0006431,0.629086,0.162849,0.332943,0.872857,0.718744,0.633925,0.066846,0.033503
42,0.445614,0.616542,0.444201,0.548383,0.752097,0.0006281,0.597144,0.151818,0.34032,0.89657,0.732999,0.698702,0.051135,0.084917
43,0.47319,0.625084,0.437696,0.543898,0.754488,0.00061298,0.638703,0.16182,0.319098,0.856809,0.676867,0.718997,0.073742,0.055528
44,0.448779,0.583541,0.421335,0.531448,0.739373,0.00059775,0.582402,0.150644,0.348695,0.883059,0.710572,0.563492,0.075054,0.056759
45,0.458301,0.594641,0.452572,0.558795,0.765379,0.00058244,0.65585,0.163359,0.339074,0.867143,0.702269,0.737172,0.063665,0.092046
