epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
43,0.113809,0.142244,0.474788,0.584085,0.892216,0.00061298,0.847016,0.07322,0.413471,0.928337,0.755897,0.279292,0.134444,0.366627
44,0.11057,0.127971,0.532158,0.642786,0.90028,0.00059775,0.859649,0.08646,0.412783,0.934132,0.767263,0.553286,0.159518,0.48417
45,0.109678,0.122907,0.546758,0.639661,0.906111,0.00058244,0.871734,0.091714,0.435727,0.935998,0.778904,0.788589,0.047822,0.423578
46,0.106434,0.119376,0.572055,0.670537,0.908834,0.00056704,0.874148,0.108651,0.43478,0.935629,0.781611,0.868341,0.150033,0.423249
47,0.108264,0.128099,0.503836,0.612302,0.898732,0.00055158,0.857357,0.096399,0.42573,0.936093,0.778322,0.410163,0.097326,0.4293
48,0.105539,0.131573,0.483251,0.585871,0.897537,0.00053608,0.856425,0.046994,0.441341,0.935536,0.778571,0.312808,0.093666,0.400667
49,0.105004,0.12047,0.564731,0.654418,0.907717,0.00052055,0.869624,0.032669,0.431871,0.937634,0.784316,0.854716,0.120961,0.486056
50,0.111931,0.141997,0.517038,0.606501,0.893424,0.000505,0.855008,0.009673,0.385391,0.915016,0.711576,0.785371,0.046109,0.428163
51,0.106892,0.143851,0.490236,0.595218,0.895942,0.00048945,0.852615,0.097739,0.439725,0.937489,0.778359,0.135606,0.177079,0.503273
52,0.105189,0.121858,0.564715,0.66709,0.906889,0.00047392,0.874053,0.090293,0.434085,0.932272,0.777659,0.795919,0.173341,0.440098
53,0.103573,0.118669,0.56794,0.666491,0.907858,0.00045842,0.873264,0.098863,0.444436,0.937444,0.784897,0.768022,0.11024,0.526353
54,0.103577,0.118023,0.557796,0.651097,0.908662,0.00044296,0.87752,0.067897,0.420432,0.934698,0.755905,0.862542,0.107785,0.435592
55,0.101927,0.119935,0.528003,0.633882,0.904169,0.00042756,0.864392,0.067924,0.445262,0.93933,0.788448,0.559742,0.133129,0.425797
56,0.102082,0.131008,0.500653,0.610468,0.895058,0.00041225,0.851677,0.121603,0.439723,0.932693,0.784845,0.303744,0.10479,0.466146
57,0.101468,0.115801,0.56978,0.664167,0.911164,0.00039702,0.877991,0.088507,0.45191,0.939158,0.790814,0.863631,0.124247,0.42198
58,0.100963,0.117094,0.564114,0.663772,0.907707,0.0003819,0.871018,0.083961,0.43949,0.938237,0.792469,0.740598,0.127763,0.51938
59,0.100659,0.121249,0.545128,0.650652,0.905275,0.0003669,0.86865,0.124932,0.437785,0.938016,0.778807,0.688579,0.111872,0.412379
60,0.099273,0.149356,0.486891,0.588122,0.899092,0.00035204,0.858544,0.1012,0.452175,0.940473,0.793221,0.263042,0.051254,0.435223
61,0.099283,0.122829,0.573932,0.672122,0.907319,0.00033732,0.877139,0.128233,0.430889,0.936532,0.769851,0.875595,0.126224,0.446996
62,0.100269,0.116853,0.540542,0.642142,0.907382,0.00032278,0.870857,0.093541,0.444387,0.940555,0.785004,0.693075,0.103267,0.393646
63,0.098012,0.123379,0.513604,0.621199,0.902014,0.00030841,0.86163,0.077181,0.453972,0.941023,0.787715,0.393128,0.124984,0.469202
64,0.098412,0.115846,0.547221,0.647256,0.909458,0.00029424,0.876022,0.092344,0.451335,0.939199,0.784917,0.745709,0.116373,0.371873
65,0.097254,0.112063,0.584674,0.679917,0.912913,0.00028027,0.879577,0.097337,0.46272,0.942103,0.798669,0.867378,0.144945,0.484663
66,0.097641,0.153891,0.494224,0.597716,0.899533,0.00026653,0.860085,0.087316,0.453452,0.937412,0.795512,0.198692,0.127103,0.494222
67,0.097723,0.144202,0.497972,0.602325,0.900753,0.00025302,0.859758,0.093161,0.456205,0.94217,0.790507,0.261825,0.097556,0.482597
68,0.096149,0.150473,0.496634,0.601113,0.898398,0.00023977,0.860076,0.119508,0.442586,0.940993,0.77561,0.195394,0.105907,0.532995
69,0.096691,0.112194,0.5834,0.679246,0.912127,0.00022677,0.878169,0.119827,0.465907,0.943265,0.796941,0.852952,0.117987,0.492155
70,0.09607,0.12009,0.515453,0.624414,0.904157,0.00021405,0.863699,0.085116,0.452157,0.942784,0.796533,0.432112,0.139383,0.411845
71,0.095955,0.121108,0.507398,0.614353,0.904002,0.00020161,0.865555,0.095368,0.463453,0.943001,0.790225,0.387777,0.099784,0.414022
72,0.096122,0.111395,0.592278,0.685659,0.913464,0.00018948,0.879495,0.110165,0.459338,0.94362,0.799053,0.865429,0.121413,0.559713
73,0.094903,0.150907,0.498627,0.606453,0.899899,0.00017765,0.85893,0.113968,0.454136,0.941644,0.791784,0.260054,0.117263,0.451237
74,0.094218,0.158225,0.500269,0.605372,0.900152,0.00016615,0.860232,0.127609,0.462799,0.942574,0.78857,0.24362,0.083781,0.492968
75,0.093848,0.113087,0.573788,0.667887,0.913363,0.00015498,0.879776,0.087733,0.459205,0.943342,0.790492,0.869539,0.13102,0.429194
76,0.094664,0.111537,0.581692,0.680167,0.911771,0.00014416,0.879247,0.112775,0.464329,0.941426,0.800943,0.792016,0.130257,0.532544
77,0.09397,0.127482,0.507118,0.614089,0.901773,0.0001337,0.862254,0.108951,0.463967,0.942401,0.795586,0.306735,0.103567,0.473482
78,0.093288,0.119709,0.518856,0.629696,0.902894,0.0001236,0.862814,0.128363,0.463188,0.943306,0.795859,0.350646,0.127713,0.478955
79,0.092854,0.164538,0.493682,0.59856,0.900767,0.00011387,0.859987,0.113857,0.461779,0.942818,0.792839,0.230333,0.096627,0.451219
80,0.093344,0.112728,0.567519,0.661922,0.913417,0.00010454,0.880563,0.09775,0.464322,0.942678,0.797519,0.857669,0.121376,0.378272
81,0.092977,0.155979,0.488804,0.595544,0.900668,9.56e-05,0.859262,0.122738,0.46231,0.94369,0.794433,0.219307,0.117912,0.390782
82,0.092828,0.168096,0.502808,0.604299,0.89899,8.706e-05,0.86055,0.124198,0.462967,0.939784,0.781682,0.174585,0.096306,0.582391
83,0.091806,0.109553,0.580079,0.674818,0.913743,7.893e-05,0.879644,0.104248,0.47251,0.944539,0.80596,0.853109,0.123411,0.457207
84,0.091929,0.148667,0.500538,0.606575,0.902103,7.123e-05,0.862723,0.122655,0.467375,0.944098,0.790426,0.235454,0.104799,0.476773
85,0.091585,0.111397,0.578716,0.67526,0.913773,6.395e-05,0.881839,0.116508,0.467401,0.943374,0.797026,0.874429,0.143595,0.405556
86,0.091943,0.128783,0.496871,0.603135,0.902525,5.711e-05,0.86338,0.126087,0.465049,0.944144,0.803055,0.268358,0.094144,0.410751
87,0.091554,0.117721,0.525049,0.633349,0.905807,5.071e-05,0.866843,0.110748,0.465543,0.944078,0.795783,0.46456,0.109146,0.443689
88,0.091879,0.12812,0.498649,0.604721,0.901996,4.476e-05,0.861877,0.102397,0.466114,0.943603,0.788755,0.277476,0.102161,0.446809
89,0.090608,0.110867,0.589388,0.683175,0.914525,3.926e-05,0.881953,0.115814,0.472688,0.944171,0.799899,0.881119,0.121733,0.497731
90,0.090795,0.111481,0.579624,0.674371,0.913956,3.423e-05,0.880016,0.103139,0.467716,0.944417,0.804381,0.869288,0.13351,0.434528
91,0.09083,0.134432,0.500892,0.606013,0.902305,2.965e-05,0.86247,0.104519,0.466423,0.943613,0.793779,0.252098,0.104796,0.479441
92,0.09044,0.110386,0.584047,0.679186,0.914584,2.555e-05,0.882063,0.11586,0.471184,0.944433,0.801619,0.875452,0.130956,0.450809
93,0.090847,0.139812,0.499831,0.603979,0.902021,2.192e-05,0.861595,0.108049,0.465968,0.944007,0.792286,0.248896,0.090817,0.487027
94,0.090418,0.128434,0.500369,0.607699,0.902929,1.877e-05,0.863424,0.11479,0.471969,0.943798,0.800004,0.266804,0.117527,0.424639
95,0.090298,0.143477,0.494841,0.601497,0.902056,1.609e-05,0.862023,0.118403,0.467807,0.944153,0.791795,0.243148,0.109256,0.422145
96,0.09146,0.146487,0.490714,0.597187,0.902011,1.39e-05,0.861998,0.123074,0.466447,0.943191,0.800966,0.249833,0.105901,0.374306
97,0.09069,0.110871,0.57932,0.673974,0.913852,1.22e-05,0.880667,0.110032,0.470674,0.944215,0.797119,0.874072,0.123951,0.433829
98,0.090787,0.153447,0.492948,0.600055,0.90154,1.098e-05,0.861804,0.12667,0.470125,0.94392,0.79873,0.227002,0.120062,0.395275
99,0.090058,0.157365,0.491233,0.596678,0.901523,1.024e-05,0.860816,0.114215,0.467022,0.943592,0.796791,0.235241,0.103386,0.408801
100,0.090467,0.128321,0.494912,0.599791,0.90312,1e-05,0.86328,0.106191,0.471124,0.944612,0.799916,0.269969,0.094131,0.410077
