epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water
50,0.090652,0.102287,0.629132,0.726767,0.914881,0.000505,0.882144,0.11388,0.462753,0.945896,0.806321,0.563796
51,0.090065,0.103301,0.641366,0.737398,0.916198,0.00048945,0.885767,0.121707,0.478391,0.944843,0.819935,0.597551
52,0.090213,0.103827,0.635675,0.731355,0.916398,0.00047392,0.882928,0.11246,0.457516,0.945706,0.816083,0.599359
53,0.089564,0.101885,0.634209,0.729231,0.91749,0.00045842,0.887787,0.105097,0.470313,0.945009,0.818754,0.578292
54,0.088861,0.10028,0.63462,0.730639,0.917629,0.00044296,0.886997,0.112255,0.4736,0.946745,0.816365,0.571761
55,0.088682,0.104277,0.632278,0.727477,0.915922,0.00042756,0.883386,0.10456,0.463305,0.947,0.820722,0.574694
56,0.088352,0.098386,0.629874,0.72823,0.918337,0.00041225,0.889672,0.125416,0.481401,0.947568,0.817178,0.51801
57,0.087793,0.100938,0.631786,0.73239,0.916856,0.00039702,0.887832,0.141639,0.485408,0.945699,0.807611,0.52253
58,0.086934,0.099615,0.629047,0.724756,0.916861,0.0003819,0.888963,0.105155,0.463674,0.944995,0.821298,0.550201
59,0.087005,0.109852,0.609182,0.699137,0.911511,0.0003669,0.878649,0.040261,0.456216,0.939044,0.817043,0.523881
60,0.08695,0.098121,0.627093,0.721514,0.918355,0.00035204,0.886363,0.092421,0.486169,0.948177,0.823763,0.525664
61,0.08663,0.098332,0.647196,0.739689,0.919195,0.00033732,0.887511,0.108838,0.47839,0.948573,0.825879,0.633987
62,0.085903,0.099132,0.639834,0.73318,0.918482,0.00032278,0.886356,0.103486,0.481952,0.948695,0.832041,0.586472
63,0.085618,0.101453,0.633237,0.729859,0.917115,0.00030841,0.889899,0.117972,0.459903,0.941375,0.824348,0.565925
64,0.084988,0.09815,0.646725,0.741301,0.918314,0.00029424,0.888863,0.122424,0.47885,0.947269,0.824928,0.618015
65,0.084708,0.099206,0.647167,0.74262,0.91802,0.00028027,0.887857,0.127372,0.48509,0.947916,0.819442,0.615323
66,0.083949,0.102406,0.635913,0.729277,0.916753,0.00026653,0.883795,0.096204,0.472535,0.946748,0.823992,0.592204
67,0.084425,0.099027,0.619808,0.713506,0.918431,0.00025302,0.886201,0.082151,0.487393,0.948913,0.827335,0.486853
68,0.0841,0.097649,0.628207,0.727944,0.918567,0.00023977,0.886722,0.138794,0.482416,0.949407,0.82494,0.486964
69,0.083317,0.09651,0.646122,0.741111,0.91931,0.00022677,0.889171,0.122844,0.491948,0.948975,0.824618,0.599174
70,0.083299,0.094982,0.639924,0.738365,0.919318,0.00021405,0.889387,0.142345,0.495773,0.949687,0.827994,0.534357
71,0.083158,0.095852,0.641099,0.737058,0.919375,0.00020161,0.889601,0.122838,0.488758,0.949374,0.823622,0.572402
72,0.082675,0.094999,0.650923,0.745842,0.920113,0.00018948,0.892012,0.131956,0.490464,0.9468,0.830055,0.614251
73,0.082654,0.095539,0.641052,0.740191,0.91908,0.00017765,0.890254,0.149845,0.493216,0.948363,0.827581,0.537051
74,0.082735,0.096328,0.645579,0.740628,0.919432,0.00016615,0.887733,0.123386,0.490059,0.949826,0.828192,0.594276
75,0.081578,0.095901,0.637622,0.735724,0.920095,0.00015498,0.892311,0.135718,0.499243,0.947846,0.825489,0.525122
76,0.081499,0.093626,0.652697,0.749319,0.92052,0.00014416,0.891816,0.148859,0.496933,0.949749,0.832062,0.596761
77,0.081513,0.100196,0.641883,0.733972,0.917913,0.0001337,0.886596,0.095681,0.490527,0.948614,0.827481,0.6024
78,0.081028,0.093671,0.647019,0.745958,0.919756,0.0001236,0.890985,0.159117,0.494367,0.949169,0.832254,0.556222
79,0.081311,0.094144,0.64882,0.743629,0.921424,0.00011387,0.892386,0.127936,0.496907,0.950771,0.830046,0.594876
80,0.080821,0.098605,0.63145,0.725884,0.917429,0.00010454,0.886023,0.097084,0.480165,0.947458,0.822002,0.555967
81,0.080972,0.095882,0.629462,0.726631,0.920695,9.56e-05,0.88985,0.121116,0.499339,0.950352,0.829753,0.48636
82,0.080635,0.09271,0.655673,0.75194,0.919695,8.706e-05,0.889503,0.14902,0.505919,0.950823,0.829359,0.609416
83,0.080042,0.092819,0.63949,0.73615,0.921553,7.893e-05,0.89129,0.130198,0.506216,0.951458,0.835033,0.522745
84,0.080246,0.092693,0.643155,0.742479,0.921388,7.123e-05,0.893277,0.155933,0.506282,0.950398,0.827282,0.525756
85,0.079992,0.092285,0.65231,0.747278,0.921314,6.395e-05,0.891833,0.136134,0.494717,0.950345,0.834548,0.606286
86,0.079971,0.093536,0.646172,0.741021,0.920513,5.711e-05,0.890621,0.123937,0.498741,0.950166,0.833359,0.580208
87,0.079411,0.092324,0.649044,0.74658,0.921256,5.071e-05,0.892897,0.150489,0.502305,0.949539,0.833703,0.565327
88,0.079589,0.092695,0.651196,0.746812,0.921724,4.476e-05,0.893381,0.137435,0.505876,0.94996,0.831724,0.5888
89,0.07974,0.091685,0.650244,0.747987,0.921601,3.926e-05,0.893646,0.153494,0.507182,0.950664,0.830602,0.565873
90,0.079015,0.091804,0.649909,0.746269,0.92179,3.423e-05,0.892398,0.143624,0.507428,0.951482,0.838994,0.565528
91,0.079484,0.091898,0.643667,0.741071,0.921391,2.965e-05,0.892767,0.140859,0.50537,0.950308,0.831936,0.540761
92,0.079255,0.093531,0.649355,0.743924,0.921299,2.555e-05,0.891338,0.126729,0.505804,0.950773,0.834811,0.586678
93,0.079369,0.093319,0.653701,0.748882,0.92103,2.192e-05,0.891817,0.137197,0.505762,0.950237,0.828635,0.608555
94,0.079767,0.093322,0.647158,0.743336,0.921443,1.877e-05,0.892476,0.135282,0.503508,0.950773,0.829964,0.570946
95,0.078789,0.092208,0.646311,0.743422,0.921424,1.609e-05,0.892518,0.141488,0.507014,0.950661,0.830282,0.555906
96,0.07892,0.091625,0.643425,0.742118,0.921821,1.39e-05,0.893475,0.153591,0.506589,0.950732,0.834459,0.521703
97,0.079276,0.091104,0.653221,0.750273,0.92145,1.22e-05,0.892675,0.152779,0.504583,0.950755,0.831431,0.587102
98,0.07918,0.092845,0.639319,0.738046,0.921419,1.098e-05,0.892779,0.148334,0.503499,0.950716,0.833691,0.506894
99,0.078746,0.091921,0.643731,0.741644,0.921376,1.024e-05,0.892485,0.146985,0.506268,0.95098,0.835679,0.529992
100,0.078981,0.092273,0.645272,0.740868,0.921965,1e-05,0.892909,0.128821,0.503747,0.951402,0.832197,0.562555
