epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,1.763328,1.455951,0.159043,0.237372,0.404081,0.00099976,0.188901,0.062891,0.095352,0.623626,0.191611,0.107712,0.002252,0.0
2,1.260991,1.225865,0.200018,0.287882,0.458375,0.00099902,0.191177,0.071251,0.133666,0.703128,0.336368,0.161596,0.002961,0.0
3,1.067265,1.147687,0.229588,0.318262,0.539734,0.0009978,0.244771,0.079124,0.170335,0.820478,0.34973,0.169327,0.002937,0.0
4,0.926691,1.047189,0.256241,0.347948,0.578595,0.0009961,0.30947,0.087898,0.207157,0.843424,0.443025,0.153448,0.00551,0.0
5,0.868212,0.913901,0.283225,0.381463,0.617144,0.00099391,0.411526,0.109677,0.235598,0.821942,0.501049,0.174878,0.011134,0.0
6,0.796389,0.932024,0.289002,0.389301,0.608071,0.00099123,0.372263,0.106373,0.226194,0.848037,0.46832,0.285281,0.005547,0.0
7,0.775889,0.84633,0.273902,0.372325,0.592852,0.00098808,0.351083,0.11707,0.245627,0.826603,0.475608,0.161404,0.01382,0.0
8,0.702637,0.782259,0.316213,0.417218,0.644422,0.00098445,0.420876,0.12061,0.264481,0.85596,0.577681,0.280607,0.009488,0.0
9,0.711784,0.757961,0.309384,0.409582,0.620918,0.00098035,0.372633,0.110637,0.263539,0.854338,0.585746,0.275377,0.012803,0.0
10,0.661017,0.733861,0.331431,0.433908,0.65525,0.00097577,0.437884,0.117367,0.288343,0.861269,0.590365,0.343327,0.01289,0.0
11,0.623602,0.763902,0.354495,0.454717,0.721301,0.00097074,0.54729,0.13166,0.291687,0.885495,0.623888,0.340615,0.015328,0.0
12,0.657498,0.781131,0.325294,0.426151,0.675991,0.00096524,0.513944,0.138489,0.264879,0.841108,0.592332,0.239316,0.012285,0.0
13,0.618703,0.849204,0.321951,0.418988,0.665161,0.00095929,0.466437,0.134506,0.270188,0.855317,0.656345,0.161861,0.030952,0.0
14,0.59426,0.701843,0.350643,0.453808,0.679082,0.00095289,0.468233,0.132601,0.318144,0.876422,0.621955,0.37044,0.017346,0.0
15,0.580961,0.73668,0.364214,0.466108,0.70417,0.00094605,0.510051,0.135688,0.310439,0.889192,0.628605,0.423173,0.016561,0.0
16,0.584792,0.7192,0.34028,0.446557,0.677332,0.00093877,0.522625,0.138266,0.276698,0.817896,0.575266,0.373302,0.018186,0.0
17,0.581351,0.718287,0.374235,0.474025,0.701774,0.00093107,0.508107,0.129685,0.297164,0.883792,0.673456,0.483616,0.018058,0.0
18,0.549589,0.700224,0.33786,0.442058,0.673839,0.00092294,0.492235,0.139954,0.299618,0.840124,0.629219,0.273287,0.028442,0.0
19,0.531486,0.665853,0.349777,0.451485,0.680162,0.0009144,0.465026,0.136197,0.306007,0.880886,0.652937,0.339047,0.018116,0.0
20,0.542181,0.718054,0.345934,0.449163,0.686392,0.00090546,0.482225,0.137844,0.308222,0.872469,0.638682,0.297635,0.030395,0.0
21,0.519909,0.68193,0.367615,0.467425,0.694544,0.00089613,0.480928,0.132206,0.329822,0.895029,0.691997,0.394926,0.016015,0.0
22,0.548337,0.705021,0.359297,0.464235,0.708154,0.0008864,0.557357,0.1507,0.306965,0.847062,0.625433,0.362493,0.024371,0.0
23,0.530061,0.785902,0.341125,0.447474,0.656662,0.0008763,0.462453,0.127463,0.306261,0.85386,0.498924,0.463989,0.01605,0.0
24,0.539927,0.690709,0.372382,0.475858,0.695708,0.00086584,0.516508,0.139605,0.302288,0.859112,0.678513,0.450967,0.032064,0.0
25,0.501572,0.687454,0.398072,0.498627,0.72722,0.00085502,0.566199,0.146801,0.316393,0.875593,0.667628,0.581117,0.030847,0.0
26,0.479973,0.657439,0.378544,0.480901,0.708872,0.00084385,0.544891,0.144651,0.317527,0.868929,0.657205,0.474538,0.020613,0.0
27,0.478033,0.629029,0.387745,0.489821,0.729083,0.00083235,0.5962,0.156388,0.298803,0.851663,0.672274,0.50149,0.025137,0.0
28,0.521869,0.651753,0.394839,0.49341,0.708037,0.00082052,0.531063,0.139996,0.313624,0.876906,0.668134,0.610032,0.018953,0.0
29,0.501111,0.611553,0.392819,0.49356,0.70616,0.00080839,0.518699,0.1383,0.316575,0.879189,0.684668,0.570953,0.034166,0.0
30,0.457982,0.646997,0.406806,0.504435,0.717701,0.00079595,0.575951,0.146573,0.301559,0.846103,0.691691,0.666149,0.026421,0.0
31,0.474525,0.643424,0.394679,0.494199,0.732631,0.00078323,0.560362,0.145669,0.33729,0.897551,0.679185,0.516889,0.020482,0.0
