epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,0.00553,0.00349,0.013139,0.025316,0.00653,0.00099976,0.000148,0.006073,0.013756,4e-06,0.054626,0.028524,0.000865,0.001114
2,0.001864,0.002767,0.015194,0.029252,0.006401,0.00099902,0.0,0.011271,0.020869,1e-06,0.057271,0.030289,0.000933,0.00092
3,0.001384,0.002516,0.012436,0.023995,0.005584,0.0009978,0.0,0.027389,0.008655,0.0,0.052506,0.009012,0.000999,0.000926
4,0.001143,0.002629,0.006696,0.013208,0.003432,0.0009961,0.0,0.013662,0.014726,0.0,0.017583,0.005496,0.001023,0.001075
5,0.001077,0.002535,0.013741,0.026456,0.006439,0.00099391,0.0,0.014679,0.030499,0.0,0.055687,0.007189,0.000982,0.000895
6,0.001094,0.003379,0.010106,0.019701,0.007532,0.00099123,0.0,0.025029,0.034526,0.0,0.016727,0.002563,0.000865,0.001141
7,0.001417,0.001892,0.014898,0.027892,0.008115,0.00098808,0.0,0.006627,0.016759,0.0,0.088999,0.004945,0.000911,0.000943
8,0.001271,0.002853,0.014181,0.026956,0.007277,0.00098445,0.0,0.010933,0.028768,0.0,0.07094,0.000862,0.00104,0.000906
9,0.001083,0.001976,0.019073,0.036388,0.011645,0.00098035,0.0,0.035171,0.034398,0.0,0.069883,0.0112,0.000822,0.001109
10,0.00092,0.001923,0.024224,0.045986,0.014219,0.00097577,0.0,0.042242,0.044763,0.0,0.07655,0.028235,0.000919,0.001083
11,0.000828,0.00142,0.026118,0.049506,0.01914,0.00097074,3e-06,0.035276,0.071744,0.0,0.060394,0.039128,0.001253,0.001145
12,0.001105,0.001553,0.041406,0.073736,0.022908,0.00096524,0.0,0.024976,0.065823,0.0,0.185285,0.052996,0.001137,0.001032
13,0.000863,0.001167,0.036755,0.068288,0.022507,0.00095929,0.0,0.049615,0.076632,0.0,0.099485,0.065941,0.001168,0.001196
14,0.00077,0.001288,0.024429,0.04624,0.015784,0.00095289,0.0,0.03742,0.04889,0.0,0.082366,0.0242,0.001096,0.001459
15,0.000765,0.00138,0.042416,0.077385,0.032177,0.00094605,0.0,0.049439,0.082179,0.0,0.139984,0.065469,0.001205,0.001049
16,0.000654,0.000862,0.054191,0.096954,0.05209,0.00093877,0.0,0.066076,0.102391,0.000361,0.167221,0.094406,0.001769,0.001301
17,0.000826,0.00071,0.048275,0.087139,0.03699,0.00093107,0.0,0.061593,0.104193,9e-06,0.153036,0.064659,0.001689,0.001025
18,0.000608,0.000798,0.045636,0.083639,0.049528,0.00092294,0.0,0.070052,0.105198,0.0,0.10026,0.085877,0.002441,0.001262
19,0.000913,0.00182,0.032805,0.058772,0.01846,0.0009144,0.0,0.029,0.073662,2e-06,0.157695,0.0,0.00115,0.000932
20,0.000744,0.001306,0.035393,0.064804,0.030254,0.00090546,0.0,0.062261,0.06786,0.000277,0.133355,0.016544,0.001558,0.001288
21,0.000533,0.000762,0.051254,0.092247,0.056638,0.00089613,0.0,0.065444,0.104483,0.006695,0.163262,0.066717,0.001925,0.001505
22,0.0006,0.001692,0.04031,0.07424,0.033854,0.0008864,0.0,0.067619,0.059949,4e-06,0.121725,0.070426,0.001445,0.001313
23,0.000624,0.000869,0.047962,0.086586,0.045165,0.0008763,0.0,0.059739,0.094542,1e-06,0.157222,0.068995,0.002248,0.000952
24,0.000694,0.000839,0.039061,0.072263,0.032171,0.00086584,0.0,0.068194,0.073023,0.002041,0.112019,0.054588,0.001763,0.000864
25,0.000578,0.000808,0.043182,0.078362,0.042609,0.00085502,0.0,0.065138,0.058892,1.3e-05,0.156446,0.061638,0.002002,0.001327
26,0.000675,0.000931,0.034839,0.064323,0.026267,0.00084385,0.0,0.068221,0.077672,0.0,0.111048,0.019244,0.001432,0.001097
