epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water
1,0.537083,0.30595,0.342352,0.410272,0.821937,0.00099976,0.751184,0.004425,0.040176,0.799375,0.45895,0.0
2,0.270335,0.246914,0.383857,0.457089,0.846319,0.00099902,0.787025,0.005186,0.137592,0.836913,0.536425,0.0
3,0.220879,0.226009,0.407388,0.484503,0.855905,0.0009978,0.806847,0.003794,0.227669,0.842001,0.564016,0.0
4,0.197439,0.186985,0.429519,0.499405,0.878097,0.0009961,0.828445,0.00179,0.232269,0.895105,0.619501,0.0
5,0.180546,0.188108,0.436798,0.511239,0.876516,0.00099391,0.830516,0.002082,0.267309,0.890448,0.615036,0.015399
6,0.174303,0.170253,0.456521,0.532786,0.885834,0.00099123,0.842732,0.003307,0.299648,0.903376,0.649831,0.040235
7,0.164159,0.168109,0.470081,0.55351,0.886074,0.00098808,0.84526,0.002286,0.315593,0.900827,0.658368,0.098154
8,0.156488,0.164128,0.494269,0.586835,0.886539,0.00098445,0.84716,0.005009,0.325069,0.903258,0.673874,0.211244
9,0.150513,0.16197,0.518796,0.616944,0.887728,0.00098035,0.84305,0.01007,0.317893,0.910646,0.674864,0.35625
10,0.149923,0.160127,0.511901,0.609089,0.888464,0.00097577,0.843797,0.002408,0.328817,0.907976,0.664451,0.323955
11,0.147691,0.154326,0.502153,0.59622,0.891421,0.00097074,0.853176,0.010807,0.332749,0.909435,0.673355,0.233393
12,0.143703,0.152782,0.520877,0.617507,0.890926,0.00096524,0.84956,0.000678,0.335482,0.912237,0.671032,0.356275
13,0.140356,0.149328,0.524863,0.621625,0.893191,0.00095929,0.854764,0.006928,0.354265,0.910933,0.684447,0.337838
14,0.138196,0.145978,0.537425,0.634939,0.893914,0.00095289,0.85812,0.013208,0.349771,0.90846,0.700622,0.394366
15,0.134833,0.142382,0.517686,0.609446,0.896029,0.00094605,0.855512,0.010657,0.360775,0.917509,0.720377,0.241284
16,0.131543,0.148791,0.532559,0.631038,0.894622,0.00093877,0.859306,0.024367,0.357215,0.910626,0.701307,0.34253
17,0.132191,0.140701,0.531456,0.626726,0.897388,0.00093107,0.861689,0.012962,0.358909,0.91632,0.711915,0.326941
18,0.128541,0.137167,0.548542,0.646398,0.898813,0.00092294,0.864173,0.026857,0.369351,0.918934,0.716101,0.395833
19,0.128618,0.141628,0.544638,0.642492,0.895676,0.0009144,0.86004,0.024655,0.354323,0.905971,0.729591,0.393248
20,0.125542,0.134335,0.558554,0.654617,0.899397,0.00090546,0.863088,0.021147,0.37274,0.921085,0.731348,0.441915
21,0.123163,0.134244,0.546075,0.64108,0.898864,0.00089613,0.864485,0.012884,0.384405,0.917444,0.729209,0.368025
22,0.125786,0.136606,0.547176,0.647308,0.897511,0.0008864,0.861886,0.043334,0.375273,0.91235,0.726385,0.363825
23,0.121883,0.130984,0.552516,0.649063,0.90085,0.0008763,0.862964,0.032508,0.398602,0.924613,0.74453,0.351878
24,0.121213,0.132611,0.557269,0.656853,0.900345,0.00086584,0.865187,0.050273,0.386872,0.918038,0.745634,0.377608
25,0.119312,0.130676,0.570428,0.672122,0.902434,0.00085502,0.867729,0.066051,0.387513,0.923081,0.736294,0.441899
26,0.116752,0.128962,0.563486,0.663481,0.902178,0.00084385,0.867628,0.050234,0.401908,0.926259,0.728002,0.406883
27,0.11785,0.129672,0.551492,0.648128,0.90313,0.00083235,0.866577,0.041169,0.388714,0.924884,0.753333,0.334274
28,0.116826,0.127626,0.576988,0.679386,0.9028,0.00082052,0.868547,0.084129,0.394863,0.922547,0.763744,0.4281
29,0.115284,0.132017,0.571404,0.673429,0.902505,0.00080839,0.862557,0.078165,0.37838,0.927227,0.757511,0.424585
30,0.117845,0.123628,0.567,0.668727,0.904763,0.00079595,0.8708,0.07406,0.392468,0.9275,0.744559,0.392615
31,0.112247,0.124439,0.568979,0.668937,0.904143,0.00078323,0.866735,0.059089,0.40332,0.930158,0.745568,0.409007
32,0.111094,0.126902,0.579278,0.681872,0.902826,0.00077023,0.871909,0.087322,0.396476,0.924763,0.759364,0.435834
33,0.111145,0.122487,0.571327,0.67268,0.90633,0.00075698,0.871642,0.081862,0.404076,0.929134,0.762928,0.378322
34,0.110351,0.133695,0.564627,0.673686,0.897134,0.00074347,0.863548,0.116414,0.384886,0.919439,0.71632,0.387158
35,0.109627,0.11871,0.576882,0.675875,0.906543,0.00072973,0.872757,0.062103,0.421809,0.930909,0.760654,0.413058
36,0.108354,0.118921,0.579859,0.67911,0.907647,0.00071576,0.872229,0.06949,0.412786,0.932873,0.770111,0.421663
37,0.107997,0.118521,0.576555,0.67474,0.907175,0.00070159,0.873976,0.060763,0.416316,0.930725,0.770062,0.407486
38,0.106844,0.121463,0.574782,0.67506,0.906707,0.00068722,0.876,0.069913,0.41379,0.930001,0.752819,0.406168
39,0.108164,0.119288,0.58581,0.687565,0.907821,0.00067268,0.876012,0.086357,0.423706,0.93198,0.757414,0.439394
