epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,0.004671,0.002707,0.00716,0.014084,0.0049,0.00099976,2.2e-05,0.018027,0.007349,0.002719,0.023768,0.00332,0.00089,0.001187
2,0.001546,0.00157,0.009529,0.018654,0.005767,0.00099902,3e-06,0.00607,0.009535,0.002695,0.028064,0.02707,0.000917,0.001879
3,0.001242,0.001253,0.014637,0.028323,0.007162,0.0009978,0.0,0.022026,0.02237,0.000164,0.018846,0.051144,0.001,0.001547
4,0.00103,0.002298,0.013504,0.026134,0.010295,0.0009961,0.0,0.020843,0.039115,0.003003,0.040584,0.002082,0.001013,0.001392
5,0.000943,0.001127,0.034849,0.064671,0.023995,0.00099391,0.0,0.033319,0.061936,0.0,0.074444,0.106554,0.001178,0.00136
6,0.00106,0.000952,0.027401,0.051296,0.019833,0.00099123,0.0,0.038694,0.049243,9e-06,0.02466,0.103294,0.001224,0.002083
7,0.001336,0.001176,0.01154,0.022509,0.007702,0.00098808,1.6e-05,0.015921,0.033669,4.1e-05,0.029124,0.010522,0.001158,0.001868
8,0.000801,0.000961,0.024547,0.046348,0.019872,0.00098445,0.0,0.027169,0.07798,0.0,0.066548,0.02184,0.001093,0.001747
9,0.000691,0.000867,0.040507,0.074635,0.033044,0.00098035,0.0,0.041962,0.086893,0.0,0.091661,0.100513,0.001211,0.00182
10,0.000743,0.001256,0.025273,0.047318,0.023736,0.00097577,0.0,0.038533,0.09125,0.0,0.063717,0.005609,0.001207,0.001869
